Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
Master Finance Company,0.0,,1447581.0,,Debt collection,2015
Matthew Thomas & Associates LLC,0.0,,1187999.0,,Debt collection,2015
"Maui Collection Service, Inc.",0.0,,1491343.0,,Debt collection,2015
"Maury Cobb, Attorney at Law, LLC",0.0,,1233054.0,,Debt collection,2015
"Maximum Title Loans, LLC",0.0,,1457238.0,,Debt collection,2015
"Mayan, LLC",0.0,,1325586.0,,Debt collection,2015
"McCalla Raymer Leibert Pierce, LLC",0.0,,1232876.0,,Debt collection,2015
"McCarthy & Holthus, LLP",0.0,,1477630.0,,Debt collection,2015
"McCarthy, Burgess & Wolff, Inc.",0.0,,2387581.0,,Debt collection,2015
"McCullough Payne & Haan, LLC",0.0,,1202859.0,,Debt collection,2015
"McKellar & Associates Group, Inc.",0.0,,1270246.0,,Debt collection,2015
McKenzie Paul & Associates,0.0,,1270247.0,,Debt collection,2015
"Meade & Associates, Inc.",0.0,,1179794.0,,Debt collection,2015
"Med-1 Solutions, LLC",0.0,,1179640.0,,Debt collection,2015
"Med-Health Financial Services, Inc.",0.0,,1311597.0,,Debt collection,2015
"MedShield, Inc.",0.0,,1335086.0,,Debt collection,2015
"Media Collections, Inc",0.0,,1180193.0,,Debt collection,2015
Mediation Recovery Center,0.0,,1415225.0,,Debt collection,2015
Medical Business Bureau,0.0,,1187261.0,,Debt collection,2015
"Medical Data Systems, Inc.",0.0,,1178472.0,,Debt collection,2015
Medical Debt Management,0.0,,1427824.0,,Debt collection,2015
"Medical Debt Recovery, Inc.",0.0,,1361926.0,,Debt collection,2015
"Medical Recovery Services, LLC",0.0,,1479698.0,,Debt collection,2015
Medical Services Inc,0.0,,1288839.0,,Debt collection,2015
"Medical Society Business Services, Inc.",0.0,,1187726.0,,Debt collection,2015
Medical-Dental-Hospital Bureau of San Antonio,0.0,,1217663.0,,Debt collection,2015
"Mel S. Harris and Associates, LLC",0.0,,1220032.0,,Debt collection,2015
Mendelson Law Firm,0.0,,1518874.0,,Debt collection,2015
Mercedes Benz Financial Services,0.0,,1269888.0,,Debt collection,2015
Merchants Acceptance Corp,0.0,,1422127.0,,Debt collection,2015
Merchants Credit Assoc. Inc SC,0.0,,1304273.0,,Debt collection,2015
"Merchants Credit Bureau, Inc.",0.0,,1229160.0,,Debt collection,2015
Merchants Credit Corporation,0.0,,1195383.0,,Debt collection,2015
"Merchants and Medical Credit Corporation, Inc.",0.0,,1272093.0,,Debt collection,2015
"Merchants and Professional Bureau, Inc.",0.0,,1181433.0,,Debt collection,2015
Merchants' Credit Guide Company,0.0,,1196960.0,,Debt collection,2015
"Meridian Financial Services, Inc.",0.0,,1180675.0,,Debt collection,2015
Messerli & Kramer P.A.,0.0,,1207968.0,,Debt collection,2015
"Metro Area Collection Service, Inc.",0.0,,1638673.0,,Debt collection,2015
"Metro Collection Service, Inc.",0.0,,1230966.0,,Debt collection,2015
"Metro Republic Commercial Service, Inc.",0.0,,1516707.0,,Debt collection,2015
"Metropolitan Bureau of Collections, Inc.",0.0,,1564608.0,,Debt collection,2015
"Meyer & Njus, P.A.",0.0,,1525523.0,,Debt collection,2015
"Mezzetti Financial Services, Inc.",0.0,,1668195.0,,Debt collection,2015
"Michael & Associates, PC",0.0,,1241780.0,,Debt collection,2015
Michael Andrews & Associates LLC,0.0,,1267128.0,,Debt collection,2015
Michael G. Niles,0.0,,1273331.0,,Debt collection,2015
"Michael Harrison, Attorney at Law",0.0,,1214122.0,,Debt collection,2015
"Michael Haynes & Associates, LLC",0.0,,1633031.0,,Debt collection,2015
"Michaels, Louis & Associates, Inc.",0.0,,1494219.0,,Debt collection,2015
"Miciul & Associates, LLC",0.0,,1303358.0,,Debt collection,2015
MicroBilt / PRBC (formerly CL Verify),0.0,,1287340.0,,Debt collection,2015
"Mid Continent Credit Services, Inc",0.0,,1237857.0,,Debt collection,2015
"Mid-America Accounts Control Bureau, Inc.",0.0,,2403350.0,,Debt collection,2015
Mid-Atlantic Consumer Services,0.0,,2705891.0,,Debt collection,2015
"Mid-Atlantic Finance Co., Inc.",0.0,,1481986.0,,Debt collection,2015
Mid-Michigan Collection Bureau,0.0,,1332514.0,,Debt collection,2015
"Midstate Collection Solutions, Inc.",0.0,,1187918.0,,Debt collection,2015
Midway Resolution Services LLC,0.0,,1184136.0,,Debt collection,2015
Midwest Acceptance Corp.,0.0,,1379444.0,,Debt collection,2015
"Midwest Fidelity Services, LLC",0.0,,1217194.0,,Debt collection,2015
Midwest Finance Corporation,0.0,,1395511.0,,Debt collection,2015
"Midwest Loan Services, Inc.",0.0,,1670475.0,,Debt collection,2015
Midwest Recovery Systems,0.0,,1334873.0,,Debt collection,2015
"Midwest Service Bureau, Inc.",0.0,,1528206.0,,Debt collection,2015
Midwestern Health Management INC,0.0,,1199102.0,,Debt collection,2015
Millennium Credit Consultants Inc.,0.0,,1424582.0,,Debt collection,2015
Miller Davis & Peoples,0.0,,1206202.0,,Debt collection,2015
"Miller and Steeno, P.C.",0.0,,1178294.0,,Debt collection,2015
MiraMed Revenue Group LLC,0.0,,1197377.0,,Debt collection,2015
"Mirand Response Systems, Inc.",0.0,,1281595.0,,Debt collection,2015
Mission Financial Services Corporation,0.0,,1241123.0,,Debt collection,2015
"Mitchell Rubenstein & Associates, P.C.",0.0,,1178834.0,,Debt collection,2015
Mnet Financial Inc,0.0,,2729988.0,,Debt collection,2015
"Mobiloans, LLC",0.0,,1191848.0,,Debt collection,2015
Modern Adjustment Bureau,0.0,,1248781.0,,Debt collection,2015
"Monarch Recovery Holdings, Inc.",0.0,,1181431.0,,Debt collection,2015
"Money Investigations, Inc.",0.0,,1203777.0,,Debt collection,2015
"Money Now- Hattiesburg, Inc.",0.0,,1186559.0,,Debt collection,2015
Monterey Financial Services LLC,0.0,,1198760.0,,Debt collection,2015
Montgomery & Meyers P.A. Corporation,0.0,,1267144.0,,Debt collection,2015
Montgomery County Credit Bureau,0.0,,1352093.0,,Debt collection,2015
"Morgan & Associates, P.C.",0.0,,1218530.0,,Debt collection,2015
"Morgan & Curtis Associates, Inc.",0.0,,1633046.0,,Debt collection,2015
"Morgan & Pottinger, PSC",0.0,,1216529.0,,Debt collection,2015
"Mortgage Lender Services, Inc.",0.0,,1459206.0,,Debt collection,2015
"Moss Law Firm, P.C.",0.0,,1224015.0,,Debt collection,2015
"Mountain Land Collections, Inc.",0.0,,1181893.0,,Debt collection,2015
"Mountain West Legal Solutions, PLLC",0.0,,1297587.0,,Debt collection,2015
"Moxley & Associates, LLC",0.0,,1340476.0,,Debt collection,2015
Mullooly Jeffrey Rooney & Flynn,0.0,,1196604.0,,Debt collection,2015
Multiple Credit Solutions,0.0,,1195551.0,,Debt collection,2015
"Municipal Collections Services, Inc.",0.0,,1213426.0,,Debt collection,2015
"Municipal Collections of America, Inc.",0.0,,1222295.0,,Debt collection,2015
"Murrell Law, LLC",0.0,,1496841.0,,Debt collection,2015
Mutual Financial Partners,0.0,,1353054.0,,Debt collection,2015
N&S Partners,0.0,,1497056.0,,Debt collection,2015
"N.A.R., Inc.",0.0,,1178783.0,,Debt collection,2015
NAM National Arbitration and Mediation,0.0,,1256448.0,,Debt collection,2015
"NARTEY LAW GROUP, LLC",0.0,,1262356.0,,Debt collection,2015
NATIONSTAR MORTGAGE,0.0,,3540716.0,,Debt collection,2015
NATIONWIDE ACCEPTANCE LLC,0.0,,1218006.0,,Debt collection,2015
NAVY FEDERAL CREDIT UNION,0.0,,1188460.0,,Debt collection,2015
NCB Management Services Inc.,0.0,,1185888.0,,Debt collection,2015
"NCC Business Services, Inc.",0.0,,1180623.0,,Debt collection,2015
NCMI Corporation,0.0,,1384339.0,,Debt collection,2015
NCP Finance,0.0,,1273155.0,,Debt collection,2015
"NCS, Inc",0.0,,1219384.0,,Debt collection,2015
NCSPLUS INCORPORATED,0.0,,1186059.0,,Debt collection,2015
"NDS, LLC.",0.0,,1486263.0,,Debt collection,2015
NE PROCESSING LLC,0.0,,1318428.0,,Debt collection,2015
NELSON AND KENNARD,0.0,,2423487.0,,Debt collection,2015
NETSPEND CORPORATION,0.0,,1697036.0,,Debt collection,2015
NEW YORK COMMUNITY BANK,0.0,,1274862.0,,Debt collection,2015
NEW YORK STATE HIGHER EDUCATION SERVICES CORPORATION (HESC)—,0.0,,1198043.0,,Debt collection,2015
"NIC, Inc.",0.0,,1186317.0,,Debt collection,2015
NISSAN MOTOR ACCEPTANCE CORPORATION,0.0,,1272634.0,,Debt collection,2015
"NJ Automotive Accounts Management Co, Inc.",0.0,,1550852.0,,Debt collection,2015
NPS GROUP,0.0,,1222305.0,,Debt collection,2015
"NRA Group, LLC",0.0,,2364114.0,,Debt collection,2015
"NRG STX Properties, LLC",0.0,,1300933.0,,Debt collection,2015
"Nadler & Associates, P.C.",0.0,,1296224.0,,Debt collection,2015
"Nair & Levin, P.C.",0.0,,1253831.0,,Debt collection,2015
"Nathan & Nathan, P.C.",0.0,,1537969.0,,Debt collection,2015
"National Account Services, Inc.",0.0,,1240541.0,,Debt collection,2015
"National Account Systems of Omaha, LLC",0.0,,1485945.0,,Debt collection,2015
National Arbitration Forum,0.0,,1198155.0,,Debt collection,2015
National Asset processing LLC,0.0,,1275865.0,,Debt collection,2015
"National Auto Lenders, Inc.",0.0,,1546964.0,,Debt collection,2015
National Business Factors,0.0,,1195016.0,,Debt collection,2015
National Capital Solutions,0.0,,1354739.0,,Debt collection,2015
"National Check Bureau, Inc.",0.0,,1269382.0,,Debt collection,2015
National Check Resolution Inc.,0.0,,1210197.0,,Debt collection,2015
"National Collection Systems, Inc.",0.0,,1279732.0,,Debt collection,2015
"National Commercial Services, Inc",0.0,,1271281.0,,Debt collection,2015
"National Credit Adjusters, LLC",0.0,,1185884.0,,Debt collection,2015
National Credit Processing Inc.,0.0,,1629886.0,,Debt collection,2015
"National Credit Services, Inc.",0.0,,1236936.0,,Debt collection,2015
"National Credit Systems,Inc.",0.0,,1178242.0,,Debt collection,2015
National Debt Group of NY,0.0,,1242343.0,,Debt collection,2015
"National Enterprise Systems, Inc.",0.0,,1186491.0,,Debt collection,2015
National Financial LLC,0.0,,1211962.0,,Debt collection,2015
National Mediation Services,0.0,,1198631.0,,Debt collection,2015
"National Medical Administrators, Inc",0.0,,1435483.0,,Debt collection,2015
National Payment Solutions of New York LLC,0.0,,1394209.0,,Debt collection,2015
"National Principal Group, LLC",0.0,,1180077.0,,Debt collection,2015
National Processing Group LLC,0.0,,1240102.0,,Debt collection,2015
"National Recoveries, Inc.",0.0,,1209574.0,,Debt collection,2015
National Recovery Services LLC,0.0,,1447883.0,,Debt collection,2015
"National Recovery Solutions, LLC",0.0,,1216169.0,,Debt collection,2015
Nations Recovery Center,0.0,,1198722.0,,Debt collection,2015
Nationwide Arbitration Services LLC,0.0,,1217625.0,,Debt collection,2015
"Nationwide Credit & Collection, Inc.",0.0,,1182198.0,,Debt collection,2015
Nationwide Credit Corporation,0.0,,1197906.0,,Debt collection,2015
"Nationwide Debt Management Solutions, LLC",0.0,,1207892.0,,Debt collection,2015
Nationwide Financial Group,0.0,,1217944.0,,Debt collection,2015
Nationwide Intermediary Services llc,0.0,,1269221.0,,Debt collection,2015
"Nationwide Recovery Systems, Ltd",0.0,,1236099.0,,Debt collection,2015
"Navient Solutions, LLC.",0.0,,1177950.0,,Debt collection,2015
"Neiman, Stone & McCormick , P.C.",0.0,,1652740.0,,Debt collection,2015
"Nelnet, Inc.",0.0,,1693043.0,,Debt collection,2015
Nelson Cruz & Associates LLC,0.0,,1687373.0,,Debt collection,2015
"Nelson, Cooper & Ortiz, LLC",0.0,,1241017.0,,Debt collection,2015
"Nelson, Watson & Associates, LLC",0.0,,1381264.0,,Debt collection,2015
"Network Services, Inc",0.0,,1285116.0,,Debt collection,2015
"Neuheisel Law Firm, P.C.",0.0,,1347853.0,,Debt collection,2015
"Nevada Credico, Inc.",0.0,,1209471.0,,Debt collection,2015
Nevada Professional Collections Texas,0.0,,1439757.0,,Debt collection,2015
"New Century Financial Services, Inc.",0.0,,1189680.0,,Debt collection,2015
"New Hampshire Northeast Credit Services, Inc.",0.0,,1281413.0,,Debt collection,2015
"Newman & Marquez, P.A.",0.0,,1327870.0,,Debt collection,2015
"Newman, Mathis, Brady & Spedale",0.0,,1357909.0,,Debt collection,2015
"Nexcheck, LLC",0.0,,1189542.0,,Debt collection,2015
Nexgen Services Inc,0.0,,1291484.0,,Debt collection,2015
"Niagara Capital Associates, Inc.",0.0,,1197974.0,,Debt collection,2015
Niagara Capital Recovery LLC,0.0,,1322905.0,,Debt collection,2015
Niagara Credit Recovery,0.0,,1549615.0,,Debt collection,2015
"Niagara Credit Solutions, Inc",0.0,,1182359.0,,Debt collection,2015
Niagara Portfolio Solutions LLC,0.0,,1183373.0,,Debt collection,2015
Niagara Restitution Service Inc,0.0,,1638300.0,,Debt collection,2015
Nicholas Financial Inc.,0.0,,1234177.0,,Debt collection,2015
"North American Asset Services, LLC",0.0,,1206326.0,,Debt collection,2015
"North American Collectors, Inc.",0.0,,1723624.0,,Debt collection,2015
North American Credit Services,0.0,,1185617.0,,Debt collection,2015
"North American Service Company, Inc.",0.0,,1429499.0,,Debt collection,2015
North Dakota Housing Finance Agency,0.0,,1475595.0,,Debt collection,2015
"North Georgia Regional Collection Agency, Inc.",0.0,,1235901.0,,Debt collection,2015
"North Shore Agency, LLC",0.0,,1180837.0,,Debt collection,2015
North Shore LIJ Health System,0.0,,1304698.0,,Debt collection,2015
NorthStar Technologies,0.0,,1370355.0,,Debt collection,2015
Northeast Collection Bureau,0.0,,1180474.0,,Debt collection,2015
"Northeast Receivables Management, LLC",0.0,,1256576.0,,Debt collection,2015
"Northeast Recovery Solutions, LLC",0.0,,1480416.0,,Debt collection,2015
"Northeastern Credit Services, Inc.",0.0,,1422079.0,,Debt collection,2015
"Northern Alliance Management, LLC",0.0,,1226697.0,,Debt collection,2015
Northland Group Inc,0.0,,2357503.0,,Debt collection,2015
Northland Healthcare Alliance,0.0,,1688971.0,,Debt collection,2015
"Northstar Location Services, LLC",0.0,,1182615.0,,Debt collection,2015
Northwest Collectors Inc.,0.0,,1239714.0,,Debt collection,2015
"Northwest Trustee Services, Inc.",0.0,,1366733.0,,Debt collection,2015
Northwestern Mediation Services,0.0,,1253395.0,,Debt collection,2015
Novea Portfolio Management LLC,0.0,,1478787.0,,Debt collection,2015
Noyes Law Firm P.C.,0.0,,1676976.0,,Debt collection,2015
"NuView Financial Services, LLC",0.0,,1386187.0,,Debt collection,2015
"Nudelman, Klemm & Golub, P.C.",0.0,,1282040.0,,Debt collection,2015
"O&L LAW GROUP, P.L.",0.0,,1586863.0,,Debt collection,2015
OLD NATIONAL BANK,0.0,,1256721.0,,Debt collection,2015
"OLIPHANT FINANCIAL, LLC",0.0,,1203286.0,,Debt collection,2015
"ONEMAIN FINANCIAL HOLDINGS, LLC.",0.0,,2369403.0,,Debt collection,2015
"ONLINE Information Services, Inc.",0.0,,1178848.0,,Debt collection,2015
"OUT TECH, INC.",0.0,,1357249.0,,Debt collection,2015
"Oak Harbor Capital, LLC",0.0,,1228155.0,,Debt collection,2015
Ocwen Financial Corporation,0.0,,1179526.0,,Debt collection,2015
Olde City Financial Inc.,0.0,,1254527.0,,Debt collection,2015
Oliver Adjustment Co.,0.0,,1231195.0,,Debt collection,2015
"Oliver Adjustment Company of Kenosha & Racine, Inc",0.0,,1215617.0,,Debt collection,2015
"Omega RMS, LLC",0.0,,1198454.0,,Debt collection,2015
"Omni Financial Group, Inc",0.0,,1577421.0,,Debt collection,2015
"Operating Partners Co., LLC",0.0,,1227107.0,,Debt collection,2015
Oportun Financial Corporation,0.0,,1255709.0,,Debt collection,2015
"Opportunity Financial, LLC",0.0,,1677560.0,,Debt collection,2015
Optima Recovery Services LLC.,0.0,,1205177.0,,Debt collection,2015
"Optimum Outcomes, Inc.",0.0,,1179947.0,,Debt collection,2015
"Optio Solutions, LLC",0.0,,1250931.0,,Debt collection,2015
Oracle Financial Group LLC.,0.0,,1196352.0,,Debt collection,2015
"Oregon Credit & Collections Bureau, Inc.",0.0,,1263696.0,,Debt collection,2015
"Orions Management Group, LLC",0.0,,1211760.0,,Debt collection,2015
"Overton, Russell, Doerr and Donovan, LLP",0.0,,1178009.0,,Debt collection,2015
"Oxford Law, LLC",0.0,,1224444.0,,Debt collection,2015
"P&B Capital Group, LLC",0.0,,1190877.0,,Debt collection,2015
P&L Acquisitions LLC,0.0,,1195429.0,,Debt collection,2015
"P.S.C., Inc",0.0,,1180073.0,,Debt collection,2015
"PARSON BISHOP SERVICES, INC",0.0,,1209588.0,,Debt collection,2015
"PASCO, Inc",0.0,,3341631.0,,Debt collection,2015
"PATRICK A. CAREY, P.A.",0.0,,1436342.0,,Debt collection,2015
"PC LEGAL SERVICES, LLC",0.0,,1238168.0,,Debt collection,2015
"PDQ Services, Inc.",0.0,,1244213.0,,Debt collection,2015
"PENNYMAC LOAN SERVICES, LLC.",0.0,,1358070.0,,Debt collection,2015
PENTAGON FEDERAL CREDIT UNION,0.0,,1208845.0,,Debt collection,2015
PHH Mortgage Services Corporation,0.0,,1224106.0,,Debt collection,2015
PHOENIX EQUITY PARTNERS LLC,0.0,,1339012.0,,Debt collection,2015
"PINNACLE RECOVERY, INC.",0.0,,3620463.0,,Debt collection,2015
"PLANET HOME LENDING, LLC",0.0,,1420919.0,,Debt collection,2015
PLDR,0.0,,1417147.0,,Debt collection,2015
"PLS GROUP, INC",0.0,,1208904.0,,Debt collection,2015
"PMAB,LLC",0.0,,1177974.0,,Debt collection,2015
"PMR Progressive, LLC",0.0,,1283977.0,,Debt collection,2015
"PMT Solutions, LLC.",0.0,,1229496.0,,Debt collection,2015
PNC Bank N.A.,0.0,,1191684.0,,Debt collection,2015
POPULAR BANK,0.0,,1219347.0,,Debt collection,2015
PORTFOLIO RECOVERY ASSOCIATES INC,0.0,,1179219.0,,Debt collection,2015
PREFERRED CREDIT INC,0.0,,1466345.0,,Debt collection,2015
PRESTIGE FINANCIAL SERVICES INC,0.0,,1289430.0,,Debt collection,2015
"PRO Consulting Services, Inc.",0.0,,1220537.0,,Debt collection,2015
"PROFESSIONAL COLLECTION SERVICE, INC",0.0,,1675891.0,,Debt collection,2015
"PROFICIO FINANCIAL SERVICES, LLC",0.0,,1524353.0,,Debt collection,2015
Pacific Collections,0.0,,1303392.0,,Debt collection,2015
"Pacific Credit Services, Inc.",0.0,,1610425.0,,Debt collection,2015
Pacific Rim Alliance Corporation,0.0,,1196206.0,,Debt collection,2015
"Paid In Full, Inc.",0.0,,1225185.0,,Debt collection,2015
"Palm Beach Credit Adjustors, Inc",0.0,,1186697.0,,Debt collection,2015
"Pan Am Collections, Inc.",0.0,,1242613.0,,Debt collection,2015
"Panteris & Panteris, LLP",0.0,,1472869.0,,Debt collection,2015
"Paragon Subrogation Services, Inc",0.0,,1357014.0,,Debt collection,2015
"Paramount Recovery Systems, L.P.",0.0,,1327177.0,,Debt collection,2015
Parker & Associates,0.0,,1356286.0,,Debt collection,2015
"Parnell & Parnell, PA",0.0,,1517472.0,,Debt collection,2015
Partners Financial Services Inc,0.0,,1361787.0,,Debt collection,2015
Partners for Payment Relief,0.0,,1375791.0,,Debt collection,2015
Partridge Snow & Hahn LLP,0.0,,1425071.0,,Debt collection,2015
Patenaude & Felix APC,0.0,,1257957.0,,Debt collection,2015
Pathfinder Credit Services,0.0,,1284116.0,,Debt collection,2015
"Patient Account Services, LLC",0.0,,1333659.0,,Debt collection,2015
Patient Accounting Service Center,0.0,,1177977.0,,Debt collection,2015
Patrick K Willis Company Inc,0.0,,1289680.0,,Debt collection,2015
Patrick Scanlon P.A.,0.0,,1183837.0,,Debt collection,2015
Paul Michael Marketing Service,0.0,,1478178.0,,Debt collection,2015
"Payday Loan, LLC (CA)",0.0,,1567609.0,,Debt collection,2015
Payment Resolution Services,0.0,,1655484.0,,Debt collection,2015
"Paypal Holdings, Inc",0.0,,1185175.0,,Debt collection,2015
Peerless Credit Services Inc,0.0,,1308537.0,,Debt collection,2015
Penn Credit Corporation,0.0,,1179835.0,,Debt collection,2015
"Penncro Associates, Inc.",0.0,,1199054.0,,Debt collection,2015
Performant Financial Corporation,0.0,,2373324.0,,Debt collection,2015
"Peroutka, Miller, Klima & Peters, P.A.",0.0,,1307546.0,,Debt collection,2015
"Persolve, LLC - Legal - Series 2",0.0,,1197998.0,,Debt collection,2015
"Peter Roberts & Associates, Inc.",0.0,,1260333.0,,Debt collection,2015
Peterson Enterprises Inc.,0.0,,1704893.0,,Debt collection,2015
"Phelan Hallinan Diamond & Jones, PC",0.0,,1311220.0,,Debt collection,2015
"Phillips & Cohen Associates, Ltd.",0.0,,1202320.0,,Debt collection,2015
"Phillips, Reinhard & Associates",0.0,,1603339.0,,Debt collection,2015
Phoenix Financial Services LLC,0.0,,1196940.0,,Debt collection,2015
"Phoenix Health Care Management Services, Inc.",0.0,,1528167.0,,Debt collection,2015
Physicians & Dentists Credit Bureau,0.0,,2389635.0,,Debt collection,2015
"Pinnacle Asset Management, LLC",0.0,,1191875.0,,Debt collection,2015
"Pinnacle Credit Services, LLC",0.0,,1178008.0,,Debt collection,2015
Pioneer Capital Solutions Inc,0.0,,1307247.0,,Debt collection,2015
"Platinum Holdings Group, LLC",0.0,,3558346.0,,Debt collection,2015
"PlusFour, Inc",0.0,,1184140.0,,Debt collection,2015
"Plutos Sama, LLC",0.0,,1478231.0,,Debt collection,2015
"Pollack & Rosen, P.A.",0.0,,1195103.0,,Debt collection,2015
Poole Mahoney PC,0.0,,1237363.0,,Debt collection,2015
"Portfolio America Asset Management, LLC",0.0,,1235133.0,,Debt collection,2015
Portland Credit Inc,0.0,,1553925.0,,Debt collection,2015
"Praxis Financial Solutions, Incorporated",0.0,,1185233.0,,Debt collection,2015
"Precise Financial Group, LLC",0.0,,1192903.0,,Debt collection,2015
"Preferred Collection and Management, Inc.",0.0,,1272021.0,,Debt collection,2015
"Premier Auto Sales, Inc.",0.0,,1583069.0,,Debt collection,2015
Premier Portfolio Group,0.0,,1352600.0,,Debt collection,2015
Premier Recovery Group,0.0,,1178971.0,,Debt collection,2015
"Pressler & Pressler, LLP",0.0,,1205588.0,,Debt collection,2015
"Presto Auto Loans, Inc.",0.0,,1402145.0,,Debt collection,2015
Primary Financial Services L.L.C.,0.0,,1194808.0,,Debt collection,2015
"Prime Business Service, LLC",0.0,,1244041.0,,Debt collection,2015
Prime Credit Corporation,0.0,,1186023.0,,Debt collection,2015
Prince Parker & Associates,0.0,,1197951.0,,Debt collection,2015
"Pro Com Services of Illinois, Inc.",0.0,,1213534.0,,Debt collection,2015
"ProCollect, Inc",0.0,,1179929.0,,Debt collection,2015
Procollect Services LLC,0.0,,1480502.0,,Debt collection,2015
"Professional Accounts Service, Inc. (Indiana)",0.0,,1216736.0,,Debt collection,2015
"Professional Adjustment Bureau of Mid-America, Inc.",0.0,,1461500.0,,Debt collection,2015
"Professional Adjustment Corp. of S.W. FL., Inc.",0.0,,1274900.0,,Debt collection,2015
"Professional Bureau of Collections of Maryland, Inc.",0.0,,1206860.0,,Debt collection,2015
"Professional Choice Recovery, Inc.",0.0,,1310427.0,,Debt collection,2015
"Professional Claims Bureau, Inc.",0.0,,1242817.0,,Debt collection,2015
Professional Collection Company,0.0,,1184915.0,,Debt collection,2015
"Professional Credit Management, Inc",0.0,,1179719.0,,Debt collection,2015
"Professional Debt Mediation, Inc.",0.0,,1206144.0,,Debt collection,2015
"Professional Finance Company, Inc.",0.0,,1191025.0,,Debt collection,2015
"Professional Medical Management, Inc.",0.0,,1221897.0,,Debt collection,2015
"Professional Placement Services, LLC",0.0,,1241811.0,,Debt collection,2015
Professional Receivables Network,0.0,,1216086.0,,Debt collection,2015
"Professional Recovery Associates, Inc.",0.0,,1603173.0,,Debt collection,2015
"Professional Recovery Consultants, Inc.",0.0,,1208968.0,,Debt collection,2015
Professional Recovery Management,0.0,,1179596.0,,Debt collection,2015
Professional Recovery Services Inc.(Closed),0.0,,1264509.0,,Debt collection,2015
"Professional Recovery of Longmont, Inc.",0.0,,1288245.0,,Debt collection,2015
Professional Service Bureau,0.0,,1511011.0,,Debt collection,2015
"Professional Solutions Collection Agency, LLC",0.0,,1226223.0,,Debt collection,2015
Profit Services Group,0.0,,1241650.0,,Debt collection,2015
"Progressive Financial Services, Inc.",0.0,,1186522.0,,Debt collection,2015
"Prohealth Care, Inc",0.0,,1311568.0,,Debt collection,2015
"Prosper Marketplace, Inc.",0.0,,1684665.0,,Debt collection,2015
"Protas, Spivok & Collins, LLC",0.0,,1387470.0,,Debt collection,2015
"Protocol Recovery Service, Inc.",0.0,,1563101.0,,Debt collection,2015
"PulteGroup, Inc.",0.0,,1614463.0,,Debt collection,2015
QC HOLDINGS INC,0.0,,1350179.0,,Debt collection,2015
"QUICKEN LOANS, INC.",0.0,,1250894.0,,Debt collection,2015
"Quad Corporation, Inc.",0.0,,1723386.0,,Debt collection,2015
"Qualey Law Group, Inc.",0.0,,1485796.0,,Debt collection,2015
Quality Asset Recovery LLC,0.0,,2396969.0,,Debt collection,2015
Quality Lenders Inc,0.0,,1569406.0,,Debt collection,2015
Quality Loan Service Corporation,0.0,,1226265.0,,Debt collection,2015
"Quality Recovery Services, Inc.",0.0,,1286233.0,,Debt collection,2015
Quall Cardot LLP,0.0,,1248602.0,,Debt collection,2015
Quantum Servicing Corporation,0.0,,1333362.0,,Debt collection,2015
"Quick Bridge Funding, LLC",0.0,,1415561.0,,Debt collection,2015
"Quick Click Loans, LLC",0.0,,1241171.0,,Debt collection,2015
R & B Corporation of Virginia,0.0,,1181908.0,,Debt collection,2015
"R & R Collection Service, Inc.",0.0,,1423080.0,,Debt collection,2015
"R J Baucum Enterprises, Inc.",0.0,,1271093.0,,Debt collection,2015
"R&R Professional Recovery, Inc.",0.0,,1210673.0,,Debt collection,2015
"R.A.Rogers, Inc.",0.0,,1185333.0,,Debt collection,2015
"R.M. Galicia, Inc.",0.0,,1186372.0,,Debt collection,2015
"R.M. Jackson & Associates, P.C.",0.0,,1339593.0,,Debt collection,2015
"RAB PERFORMANCE RECOVERIES, LLC",0.0,,1334144.0,,Debt collection,2015
"RAB, INC.",0.0,,1188397.0,,Debt collection,2015
"RCO Hawaii, LLLC",0.0,,1188888.0,,Debt collection,2015
"RCO Legal, P.S.",0.0,,1321539.0,,Debt collection,2015
"RCS Recovery Services, LLC",0.0,,1289801.0,,Debt collection,2015
REGIONS FINANCIAL CORPORATION,0.0,,1277638.0,,Debt collection,2015
"RFNA, LP",0.0,,1216062.0,,Debt collection,2015
"RGL Associates, Inc.",0.0,,1629116.0,,Debt collection,2015
"RGS Financial, Inc.",0.0,,1178934.0,,Debt collection,2015
RJM ACQUISITION LLC,0.0,,1189528.0,,Debt collection,2015
RMA Credit Association,0.0,,1206394.0,,Debt collection,2015
"RMB, Inc.",0.0,,1214153.0,,Debt collection,2015
"RMI Services, LLC",0.0,,1222007.0,,Debt collection,2015
"RMS-Recovery Management Services, Inc.",0.0,,1187007.0,,Debt collection,2015
ROBERT TIMMS AND ASSOCIATES INC.,0.0,,1535375.0,,Debt collection,2015
"ROC Asset Solutions, LLC",0.0,,1396219.0,,Debt collection,2015
"ROCKFORD MERCANTILE AGENCY, INC.",0.0,,1205915.0,,Debt collection,2015
ROCKY POINT CAPITAL LLC,0.0,,1213360.0,,Debt collection,2015
RPT Recovery Authority LLC,0.0,,1306853.0,,Debt collection,2015
RR Resource-Recovery,0.0,,1446501.0,,Debt collection,2015
"RS Clark and Associates, Inc.",0.0,,1219898.0,,Debt collection,2015
"RSB Equity Group, LLC",0.0,,1252792.0,,Debt collection,2015
"RSH & Associates, LLC",0.0,,1216845.0,,Debt collection,2015
